institution,seed_url,source,score,matched_terms,reason
UTEC,https://pregrado.utec.edu.pe/landings/carreras/fisica,homepage,9,carrera|fisica,url:carrera + stem:fisica
UTEC,https://utec.edu.pe/blog-de-carreras/ingenieria-de-la-energia/aprendizaje-para-la-vida-mi-experiencia-en-el-programa-repu,sitemap,8,carrera|ingenieria|programa,"url:carrera,programa + stem:ingenieria + sitemap + low-priority:blog"
UNI,https://portal.uni.edu.pe/index.php/posgrado-uni/catalogo-de-posgrado,homepage,15,catalogo|posgrado,"url:catalogo,posgrado + anchor:catalogo,posgrado + curriculum-pattern"
UNI,https://portal.uni.edu.pe/index.php/facultades/ingenieria-electrica-y-electronica,homepage,12,electrica|electronica|facultad|ingenieria,"anchor:facultad + stem:electrica,electronica,ingenieria"
UNI,https://portal.uni.edu.pe/index.php/facultades/ingenieria-economica-estadistica-y-de-ciencias-sociales,homepage,10,ciencias|facultad|ingenieria,"anchor:facultad + stem:ciencias,ingenieria"
UNI,https://portal.uni.edu.pe/index.php/facultades/ciencias,homepage,8,ciencias|facultad,anchor:facultad + stem:ciencias
UNI,https://portal.uni.edu.pe/index.php/facultades/ingenieria-ambiental,homepage,8,facultad|ingenieria,anchor:facultad + stem:ingenieria
UNI,https://portal.uni.edu.pe/index.php/facultades/ingenieria-civil,homepage,8,facultad|ingenieria,anchor:facultad + stem:ingenieria
UNI,https://portal.uni.edu.pe/index.php/facultades/ingenieria-de-petroleo-y-petroquimica,homepage,8,facultad|ingenieria,anchor:facultad + stem:ingenieria
UNI,https://portal.uni.edu.pe/index.php/facultades/ingenieria-geologica-minera-y-metalurgica,homepage,8,facultad|ingenieria,anchor:facultad + stem:ingenieria
UNI,https://portal.uni.edu.pe/index.php/facultades/ingenieria-industrial-y-de-sistemas,homepage,8,facultad|ingenieria,anchor:facultad + stem:ingenieria
UNI,https://portal.uni.edu.pe/index.php/facultades/ingenieria-mecanica,homepage,8,facultad|ingenieria,anchor:facultad + stem:ingenieria
UNI,https://portal.uni.edu.pe/index.php/facultades/ingenieria-quimica-y-textil,homepage,8,facultad|ingenieria,anchor:facultad + stem:ingenieria
UNI,https://portal.uni.edu.pe/index.php/posgrado-uni/doctorados,homepage,8,doctorado|posgrado,"url:doctorado,posgrado + anchor:doctorado"
UNI,https://portal.uni.edu.pe/index.php/posgrado-uni/maestrias,homepage,8,maestria|posgrado,"url:maestria,posgrado + anchor:maestria"
UNI,https://portal.uni.edu.pe/index.php/facultades/ciencias/ingenieria-fisica,homepage,6,ciencias|fisica|ingenieria,"stem:ciencias,fisica,ingenieria"
UNI,https://portal.uni.edu.pe/index.php/facultades/ingenieria-electrica-y-electronica/ingenieria-de-ciberseguridad,homepage,6,electrica|electronica|ingenieria,"stem:electrica,electronica,ingenieria"
UNI,https://portal.uni.edu.pe/index.php/facultades/ingenieria-electrica-y-electronica/ingenieria-de-telecomunicaciones,homepage,6,electrica|electronica|ingenieria|telecomunicaciones,"stem:electrica,electronica,ingenieria"
UNI,https://portal.uni.edu.pe/index.php/facultades/ingenieria-electrica-y-electronica/ingenieria-electrica,homepage,6,electrica|electronica|ingenieria,"stem:electrica,electronica,ingenieria"
UNI,https://portal.uni.edu.pe/index.php/facultades/ingenieria-electrica-y-electronica/ingenieria-electronica,homepage,6,electrica|electronica|ingenieria,"stem:electrica,electronica,ingenieria"
UNI,http://www.catalogo.uni.edu.pe/,homepage,5,,curriculum-pattern
UNI,https://press.uni.edu.pe/index.php/historiauni/catalog/series/historiauni,homepage,5,,curriculum-pattern
