Nombre,Asistencia día 1,Asistencia día 2,Asistencia día 3,email,Edad,Ocupación actual,"¿Qué carrera estudió, estudia o planea estudiar?",¿A qué días se compromete asistir?,,
qubit 43,VERDADERO,FALSO,FALSO,gmail.com,17 o menos,Escolar,Bioquímica,19 de diciembre, 20 de diciembre,
qubit 44,VERDADERO,VERDADERO,VERDADERO,gmail.com,18-24,Universitario(a),Ingeniería Mecatrónica,19 de diciembre, 20 de diciembre,
qubit 45,VERDADERO,VERDADERO,VERDADERO,uni.pe,18-24,Universitario(a),Física ,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 46,VERDADERO,FALSO,FALSO,hotmail.com,45+,Profesional,Ingenieria de Sistemas,19 de diciembre, 21 de diciembre, 20 de diciembre
qubit 47,VERDADERO,VERDADERO,VERDADERO,hotmail.com,25-34,Investigador(a),Musicología Matemática,,20 de diciembre, 21 de diciembre
qubit 48,VERDADERO,VERDADERO,FALSO,gmail.com,18-24,Universitario(a),Ingeniería de Software,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 49,VERDADERO,FALSO,FALSO,gmail.com,25-34,Universitario(a),Ingeniería Industrial ,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 50,VERDADERO,VERDADERO,VERDADERO,gmail.com,25-34,Universitario(a),Ingeniería de Software,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 51,FALSO,FALSO,FALSO,gmail.com,18-24,Universitario(a),Ingenieria de Sistemas,, 20 de diciembre,21 de diciembre
qubit 52,FALSO,VERDADERO,VERDADERO,gmail.com,25-34,Universitario(a),Física,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 53,FALSO,VERDADERO,VERDADERO,utec.edu.pe,18-24,Universitario(a),Ciencias de la Computación,19 de diciembre, 20 de diciembre,
qubit 54,VERDADERO,FALSO,FALSO,gmail.com,45+,Egresado(a),Ingenieria de Sistemas ,,20 de diciembre, 21 de diciembre
qubit 55,VERDADERO,FALSO,FALSO,gmail.com,18-24,Universitario(a),Ciencias de la Computación,19 de diciembre,, 21 de diciembre
qubit 56,VERDADERO,FALSO,FALSO,alum.up.edu.pe,18-24,Universitario(a),Ingeniería Empresarial ,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 57,VERDADERO,VERDADERO,VERDADERO,outlook.com,35-44,Egresado(a),Ingenieria de Sistemas,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 58,VERDADERO,FALSO,FALSO,pucp.edu.pe,18-24,Universitario(a),Gestion,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 59,VERDADERO,FALSO,FALSO,gmail.com,17 o menos,Universitario(a),Sistemas de la información ,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 60,VERDADERO,FALSO,FALSO,gmail.com,18-24,Universitario(a),Ingeniería Física ,,20 de diciembre, 21 de diciembre
qubit 61,VERDADERO,VERDADERO,VERDADERO,gmail.com,18-24,Universitario(a),Física,,20 de diciembre, 21 de diciembre
qubit 62,VERDADERO,FALSO,VERDADERO,gmail.com,35-44,Egresado(a),Desarrollo en Sistemas de la Información ,,,21 de diciembre
qubit 63,VERDADERO,FALSO,FALSO,gmail.com,17 o menos,Escolar,Relaciones internacionales ,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 64,VERDADERO,FALSO,FALSO,uni.pe,18-24,Universitario(a),Ingeniería Económica ,19 de diciembre,,
qubit 65,VERDADERO,FALSO,FALSO,gmail.com,18-24,Universitario(a),Física,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 66,VERDADERO,VERDADERO,VERDADERO,gmail.com,17 o menos,Escolar,Ingeniería Física ,19 de diciembre,20 de diciembre, 21 de diciembre
qubit 67,VERDADERO,VERDADERO,VERDADERO,utec.edu.pe,18-24,Universitario(a),Ciencias de la Computación ,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 68,VERDADERO,FALSO,FALSO,gmail.com,25-34,Profesional,Ingenieria de Sistemas,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 69,VERDADERO,FALSO,FALSO,hotmail.com,45+,Profesional,Contabilidad ,19 de diciembre,, 21 de diciembre
qubit 70,VERDADERO,FALSO,FALSO,uni.pe,18-24,Universitario(a),Ingeniería Electrónica,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 71,VERDADERO,FALSO,FALSO,gmail.com,18-24,Universitario(a),Ingeniería Empresarial ,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 72,VERDADERO,FALSO,FALSO,outlook.com,18-24,Universitario(a),Economía,19 de diciembre, 20 de diciembre,
